NOTE: this sheet gets updated each time,,,,,,
Date,Time_set_start_UTC,Set,MPVPosition,Core,Mass_g,Notes
8/31/15,17:18,1,10,Ambient22,,
8/31/15,18:00,1,6,AL 38,1981.1,
8/31/15,18:00,1,16,AL 39,2189.2,
8/31/15,18:00,1,13,AL 10,1449.2,
8/31/15,18:00,1,14,AL 5,1860.7,
8/31/15,18:00,1,11,AL 22,1868.1,
8/31/15,18:00,1,1,AL 34,2038.1,
8/31/15,18:30,2,10,Ambient22,,
8/31/15,19:30,2,4,AL 23,2107.7,
8/31/15,19:30,2,2,AL 18,1870,
8/31/15,19:30,2,12,AL 15,1799.2,
8/31/15,19:30,2,8,AL 21,2325.1,
8/31/15,19:30,2,5,AL 9,1853.7,
8/31/15,19:30,2,9,AL 37,1796.8,
8/31/15,20:15,3,10,Ambient22,,
8/31/15,20:25,3,6,AL 19,1693.2,
8/31/15,20:25,3,16,AL 24,2086.9,
8/31/15,20:25,3,13,AL 28,2326.7,
8/31/15,20:25,3,14,AL 27,1574.8,
8/31/15,20:25,3,11,AL 2,2354.6,
8/31/15,20:25,3,1,AL 6,1823.3,
8/31/15,21:00,4,10,Ambient4,,
8/31/15,22:20,4,6,AL 25,1640.9,
8/31/15,22:20,4,16,AL 36,1931.3,
8/31/15,22:20,4,13,AL 8,1319.5,
8/31/15,22:20,4,14,AL 7,2069.3,
8/31/15,22:20,4,11,AL 29,1762.1,
8/31/15,22:20,4,1,AL 20,2068.5,
8/31/15,22:20,5,10,Ambient4,,
8/31/15,22:20,5,4,AL 12,2213.2,
8/31/15,22:20,5,2,AL 26,2064.4,
8/31/15,22:20,5,12,AL 14,2037.6,
8/31/15,22:20,5,8,AL 1,2129.4,
8/31/15,22:20,5,5,AL 16,2221.7,
8/31/15,22:20,5,9,AL 13,1730,
9/1/15,18:44,1,10,Ambient22,,
9/1/15,19:30,3,6,AL 38,1979.1,
9/1/15,19:30,3,16,AL 39,2187.4,
9/1/15,19:30,3,13,AL 10,1450.8,
9/1/15,19:30,3,14,AL 5,1861.6,
9/1/15,19:30,3,11,AL 22,1868.3,
9/1/15,19:30,3,1,AL 34,2036.9,
9/1/15,20:14,1,10,Ambient22,,
9/1/15,20:20,4,4,AL 23,2070.6,
9/1/15,20:20,4,2,AL 18,1846.3,
9/1/15,20:20,4,12,AL 15,1788.3,
9/1/15,20:20,4,8,AL 21,2285.5,
9/1/15,20:20,4,5,AL 9,1820.9,
